id,original,surface,pronunciation,prefecture,city,lines,operator,opened_year,station_code,status,image,image_page,description,wikidata
8380,陸奥森田,陸奥森田,むつもりた,青森県,つがる市,JR東日本 五能線,JR東日本,1924,リタ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Mutsu-Morita%20Station%2020190908.jpg,https://commons.wikimedia.org/wiki/File:Mutsu-Morita_Station_20190908.jpg,青森県つがる市森田町床舞緑野（とこまいみどりの）にある、東日本旅客鉄道（JR東日本）五能線の駅である。旧・森田村の代表駅で、臨時快速「リゾートしらかみ」も停車する。,Q6944025
8381,陸奥柳田,陸奥柳田,むつやなぎた,青森県,深浦町,JR東日本 五能線,JR東日本,1953,ムヤ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Mutsu-Yanagita%20Station%2020190908.jpg,https://commons.wikimedia.org/wiki/File:Mutsu-Yanagita_Station_20190908.jpg,青森県西津軽郡深浦町大字柳田宮崎にある東日本旅客鉄道（JR東日本）五能線の駅である。,Q11658602
8382,陸奥横浜,陸奥横浜,むつよこはま,青森県,横浜町,JR東日本 大湊線,JR東日本,1921,ヨコ,current,http://commons.wikimedia.org/wiki/Special:FilePath/J%20R%20%E9%99%B8%E5%A5%A5%E6%A8%AA%E6%B5%9C%E9%A7%85%20-%20panoramio.jpg,https://commons.wikimedia.org/wiki/File:J_R_%E9%99%B8%E5%A5%A5%E6%A8%AA%E6%B5%9C%E9%A7%85_-_panoramio.jpg,青森県上北郡横浜町字舘ノ後（たてのうしろ）にある、東日本旅客鉄道（JR東日本）大湊線の駅。,Q6944033
8383,務田,務田,むでん,愛媛県,宇和島市,四国旅客鉄道 予土線,四国旅客鉄道,1914,G45／ムテ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Muden-Station-Platform.jpg,https://commons.wikimedia.org/wiki/File:Muden-Station-Platform.jpg,愛媛県宇和島市三間町迫目にある、四国旅客鉄道（JR四国）予土線の駅である。駅番号はG45。標高は149.2 m。隣の伊予宮野下駅とは0.9kmしか離れていない。,Q4388190
8384,撫養,撫養,むや,徳島県,鳴門市,四国旅客鉄道 鳴門線,四国旅客鉄道,1916,N09／ムヤ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Muya%20Station-2.jpg,https://commons.wikimedia.org/wiki/File:Muya_Station-2.jpg,徳島県鳴門市撫養町南浜権現にある四国旅客鉄道（JR四国）鳴門線の駅。駅番号はN09。,Q8191321
8385,村井,村井,むらい,長野県,松本市,JR東日本 篠ノ井線,JR東日本／JR貨物,1902,ムイ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Shinonoi-Line%20Murai%20Station%20building.jpg,https://commons.wikimedia.org/wiki/File:JR_Shinonoi-Line_Murai_Station_building.jpg,長野県松本市村井町南にある、東日本旅客鉄道（JR東日本）・日本貨物鉄道（JR貨物）篠ノ井線の駅である。,Q3797730
8386,村上,村上,むらかみ,千葉県,八千代市,東葉高速鉄道 東葉高速線,東葉高速鉄道,1996,TR08,current,http://commons.wikimedia.org/wiki/Special:FilePath/Toyo-rapid-railway-TR08-Murakami-station-building-north-20210427-125344.jpg,https://commons.wikimedia.org/wiki/File:Toyo-rapid-railway-TR08-Murakami-station-building-north-20210427-125344.jpg,千葉県八千代市村上南一丁目にある、東葉高速鉄道東葉高速線の駅である。駅番号はTR08。,Q283118
8387,村上,村上,むらかみ,新潟県,村上市,JR東日本 羽越本線,JR東日本,1914,ムミ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JRE%20Murakami-STA%20Platform2-3.jpg,https://commons.wikimedia.org/wiki/File:JRE_Murakami-STA_Platform2-3.jpg,新潟県村上市田端町にある、東日本旅客鉄道（JR東日本）羽越本線の駅である。新潟近郊区間、およびIC乗車券「Suica」の新潟エリアは当駅が最北端である。,Q6937257
8388,紫,紫,むらさき,福岡県,筑紫野市,西鉄天神大牟田線,西鉄,2010,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Murasaki0910.jpg,https://commons.wikimedia.org/wiki/File:Murasaki0910.jpg,福岡県筑紫野市紫二丁目にある西日本鉄道（西鉄）天神大牟田線の駅である。駅番号はT14。普通停車駅。,Q6937369
8389,村崎野,村崎野,むらさきの,岩手県,北上市,JR東日本 東北本線,JR東日本,1919,ムノ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JRE%20Murasakino-STA.jpg,https://commons.wikimedia.org/wiki/File:JRE_Murasakino-STA.jpg,岩手県北上市村崎野にある、東日本旅客鉄道（JR東日本）東北本線の駅である。,Q899287
8390,村野,村野,むらの,大阪府,枚方市,京阪電気鉄道 京阪交野線,京阪電気鉄道,1929,KH63,current,http://commons.wikimedia.org/wiki/Special:FilePath/Keihan%20Murano%20Station%2020200607.jpg,https://commons.wikimedia.org/wiki/File:Keihan_Murano_Station_20200607.jpg,大阪府枚方市村野本町にある、京阪電気鉄道交野線の駅。駅番号はKH63。,Q6937332
8391,村山,村山,むらやま,山形県,村山市,JR東日本 奥羽本線,JR東日本,1901,ムラ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Murayama%20Station%20Platform%2C%20Yamagata%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Murayama_Station_Platform%2C_Yamagata_Pref.jpg,山形県村山市楯岡新町1丁目にある、東日本旅客鉄道（JR東日本）奥羽本線（山形線）の駅。山形新幹線の停車駅である。,Q1053166
8392,村山,村山,むらやま,長野県,須坂市,長野電鉄長野線,長電,1926,N11／ムヤ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Nagano%20Murayama-STA.jpg,https://commons.wikimedia.org/wiki/File:Nagano_Murayama-STA.jpg,長野県須坂市大字高梨にある長野電鉄長野線の駅である。駅番号はN11。,Q11523171
8393,牟礼,牟礼,むれ,長野県,飯綱町,しなの鉄道北しなの線,しなの鉄道,1888,ムレ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Shinano%20Railway%20Kita-Shinano%20Line%20Mure%20Station%20Platform.jpg,https://commons.wikimedia.org/wiki/File:Shinano_Railway_Kita-Shinano_Line_Mure_Station_Platform.jpg,長野県上水内郡飯綱町栄町にある、しなの鉄道北しなの線の駅である。,Q5356170
8394,室,室,むろ,岐阜県,大垣市,養老鉄道 養老線,,1916,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Muro%20Eki1.jpg,https://commons.wikimedia.org/wiki/File:Muro_Eki1.jpg,岐阜県大垣市木戸町にある、養老鉄道養老線の駅。駅番号はI02。,Q6938815
8395,室生口大野,室生口大野,むろうぐちおおの,奈良県,宇陀市,近畿日本鉄道 近鉄大阪線,近畿日本鉄道,1930,D46,current,http://commons.wikimedia.org/wiki/Special:FilePath/Muroguchi-Ono%20stn%201.jpg,https://commons.wikimedia.org/wiki/File:Muroguchi-Ono_stn_1.jpg,奈良県宇陀市にある、近畿日本鉄道大阪線の駅。駅番号はD46。,Q6939872
8396,室堂ターミナル,室堂ターミナル,むろどうたーみなる,富山県,芦峅寺,立山黒部貫光 立山トンネル電気バス,立山黒部貫光,1971,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Murodoh.jpg,https://commons.wikimedia.org/wiki/File:Murodoh.jpg,富山県中新川郡立山町芦峅寺の室堂平にあるバスターミナル。本記事では、無軌条電車（トロリーバス）の鉄道駅として建物に併設されていた室堂駅（むろどうえき）についても説明する。,Q6938821
8397,室見,室見,むろみ,福岡県,室見,福岡市交通局 空港線,,1981,K02,current,http://commons.wikimedia.org/wiki/Special:FilePath/Entrance%20No.1%20of%20Muromi%20Station%202.jpg,https://commons.wikimedia.org/wiki/File:Entrance_No.1_of_Muromi_Station_2.jpg,福岡県福岡市早良区室見一丁目に所在にある、福岡市地下鉄空港線の駅。駅番号はK02。,Q4357442
8398,室蘭,室蘭,むろらん,北海道,室蘭市,JR北海道 室蘭本線,JR北海道,1897,M36／ムロ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Muroran%20station%2020170709.jpg,https://commons.wikimedia.org/wiki/File:Muroran_station_20170709.jpg,北海道室蘭市中央町4丁目にある北海道旅客鉄道（JR北海道）室蘭本線（支線）の駅で、室蘭支線の終着駅。駅番号はM36。電報略号はムロ。事務管理コードは▲130354。,Q6938861
8399,明治神宮前,明治神宮前,めいじじんぐうまえ,東京都,神宮前,東京地下鉄 東京メトロ副都心線／東京地下鉄 東京メトロ千代田線,東京地下鉄,1972,C-03／F-15,current,http://commons.wikimedia.org/wiki/Special:FilePath/Meiji-jingumae_Station_Concourse_2018.jpg,https://commons.wikimedia.org/wiki/File:Meiji-jingumae_Station_Concourse_2018.jpg,東京都渋谷区神宮前にある、東京地下鉄（東京メトロ）の駅。旅客案内上は「明治神宮前〈原宿〉駅」（めいじじんぐうまえ はらじゅくえき）と呼称される。,Q80429
8400,名城公園,名城公園,めいじょうこうえん,愛知県,名古屋市,名市交 名城線,,1971,M08,current,http://commons.wikimedia.org/wiki/Special:FilePath/Nagoya-subway-M08-Meijo-koen-station-entrance-2-20100315.jpg,https://commons.wikimedia.org/wiki/File:Nagoya-subway-M08-Meijo-koen-station-entrance-2-20100315.jpg,愛知県名古屋市北区名城2丁目にある、名古屋市営地下鉄名城線（2号線）の駅である。駅番号はM08。アクセントカラーは茶色。,Q863874
8401,明大前,明大前,めいだいまえ,東京都,松原,京王電鉄 京王井の頭線／京王電鉄 京王線,京王電鉄,1913,IN08／KO06,current,http://commons.wikimedia.org/wiki/Special:FilePath/Meidaimae-STA%20Central-Gate.jpg,https://commons.wikimedia.org/wiki/File:Meidaimae-STA_Central-Gate.jpg,東京都世田谷区松原二丁目にある、京王電鉄の駅。井の頭北管区所属で、管区長所在駅。,Q906793
8402,名鉄一宮,名鉄一宮,めいてついちのみや,愛知県,一宮市,名鉄名古屋本線／名鉄尾西線,名鉄,1900,NH50,current,http://commons.wikimedia.org/wiki/Special:FilePath/Meitetsu%20Department%20Store%20Ichinomiya%20Store%202020-10%20ac.jpg,https://commons.wikimedia.org/wiki/File:Meitetsu_Department_Store_Ichinomiya_Store_2020-10_ac.jpg,愛知県一宮市新生にある、名古屋鉄道の駅である。駅番号はNH50。,Q2856589
8403,名鉄岐阜,名鉄岐阜,めいてつぎふ,岐阜県,岐阜市,名鉄各務原線／名鉄名古屋本線,名鉄,1911,NH60,current,http://commons.wikimedia.org/wiki/Special:FilePath/MT-Meitetsu%20Gifu%20Station-Building%201.jpg,https://commons.wikimedia.org/wiki/File:MT-Meitetsu_Gifu_Station-Building_1.jpg,岐阜県岐阜市神田町九丁目にある名古屋鉄道の駅。駅番号はNH60。築堤高架上の名古屋本線と、地平に設置された各務原線の2つの構内からなる。,Q1109902
8404,名鉄名古屋,名鉄名古屋,めいてつなごや,愛知県,名駅一丁目,名鉄名古屋本線,名鉄,1941,NH36,current,http://commons.wikimedia.org/wiki/Special:FilePath/MEITETSU%20Department%20Store%20-%20Head%20Store%20-%2001.JPG,https://commons.wikimedia.org/wiki/File:MEITETSU_Department_Store_-_Head_Store_-_01.JPG,愛知県名古屋市中村区名駅1丁目にある名古屋鉄道名古屋本線の駅である。駅番号はNH36。名鉄最大のターミナル駅であり、全営業列車が停車する。,Q911757
8405,名電赤坂,名電赤坂,めいでんあかさか,愛知県,豊川市,名鉄名古屋本線,名鉄,1926,NH06,current,http://commons.wikimedia.org/wiki/Special:FilePath/Meiden%20Akasaka%20Station%202.jpg,https://commons.wikimedia.org/wiki/File:Meiden_Akasaka_Station_2.jpg,愛知県豊川市赤坂町松本にある名古屋鉄道（名鉄）名古屋本線の駅である。駅番号はNH06。,Q6809963
8406,名電各務原,名電各務原,めいでんかかみがはら,岐阜県,各務原市,名鉄各務原線,名鉄,1926,KG04,current,http://commons.wikimedia.org/wiki/Special:FilePath/MT-Meiden%20Kakamigahara%20Station-Building.jpg,https://commons.wikimedia.org/wiki/File:MT-Meiden_Kakamigahara_Station-Building.jpg,岐阜県各務原市鵜沼各務原町一丁目にある名古屋鉄道各務原線の駅である。駅番号はKG04。,Q6809969
8407,名電築港,名電築港,めいでんちっこう,愛知県,港区,名古屋臨海鉄道東築線／名鉄築港線,,1924,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Meiden-Chikko%20Stations%20site.jpg,https://commons.wikimedia.org/wiki/File:Meiden-Chikko_Stations_site.jpg,愛知県名古屋市港区大江町にある名古屋鉄道（名鉄）、名古屋臨海鉄道の貨物駅である。名鉄側からは名電築港信号場と称されることがある。,Q11415823
8408,名電長沢,名電長沢,めいでんながさわ,愛知県,豊川市,名鉄名古屋本線,名鉄,1926,NH07,current,http://commons.wikimedia.org/wiki/Special:FilePath/Meiden%20Nagasawa%20Station%202.jpg,https://commons.wikimedia.org/wiki/File:Meiden_Nagasawa_Station_2.jpg,愛知県豊川市長沢町音羽にある名古屋鉄道（名鉄）名古屋本線の駅である。駅番号はNH07。,Q6809965
8409,名電山中,名電山中,めいでんやまなか,愛知県,岡崎市,名鉄名古屋本線,名鉄,1926,NH09,current,http://commons.wikimedia.org/wiki/Special:FilePath/Meiden%20Yamanaka%20Station%203.jpg,https://commons.wikimedia.org/wiki/File:Meiden_Yamanaka_Station_3.jpg,愛知県岡崎市舞木町字山中町にある名古屋鉄道名古屋本線の駅である。駅番号はNH09。,Q11415824
8410,姪浜,姪浜,めいのはま,福岡県,西区,JR九州 筑肥線／福岡市交通局 空港線,JR九州／福岡市交通局,1925,K01,current,http://commons.wikimedia.org/wiki/Special:FilePath/Meinohama-STA%20South.jpg,https://commons.wikimedia.org/wiki/File:Meinohama-STA_South.jpg,福岡県福岡市西区姪の浜四丁目にある、福岡市交通局（福岡市地下鉄）・九州旅客鉄道（JR九州）の駅である。駅番号は福岡市交通局がK01、JR九州がJK01である。,Q1039174
8411,明峰,明峰,めいほう,石川県,小松市,IRいしかわ鉄道線,IRいしかわ鉄道,1988,メイ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Meiho%20station%2001.jpg,https://commons.wikimedia.org/wiki/File:JR_Meiho_station_01.jpg,石川県小松市松梨町にある、IRいしかわ鉄道線の駅である。,Q6810028
8412,夫婦石,夫婦石,めおといし,佐賀県,有田町,松浦鉄道西九州線,松浦鉄道,1898,メオ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Mr%20meotoishi%20station.jpg,https://commons.wikimedia.org/wiki/File:Mr_meotoishi_station.jpg,佐賀県西松浦郡有田町二ノ瀬にある、松浦鉄道西九州線の駅である。,Q11444782
8413,妻鹿,妻鹿,めが,兵庫県,姫路市,山陽電気鉄道本線,山陽電気鉄道,1923,SY 39,current,http://commons.wikimedia.org/wiki/Special:FilePath/Mega%20Station%2006.jpg,https://commons.wikimedia.org/wiki/File:Mega_Station_06.jpg,兵庫県姫路市飾磨区妻鹿出口にある、山陽電気鉄道本線の駅。駅番号はSY 39。,Q6808125
8414,女鹿,女鹿,めが,山形県,遊佐町,JR東日本 羽越本線,JR東日本,1962,メカ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Mega%20Station%20Platform%2C%20Yamagata%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Mega_Station_Platform%2C_Yamagata_Pref.jpg,山形県飽海郡遊佐町吹浦字女鹿にある、東日本旅客鉄道（JR東日本）羽越本線の駅である。山形県最北端の駅である。,Q6808127
8415,めがね橋,めがね橋,めがねばし,長崎県,長崎市,長崎電気軌道蛍茶屋支線,長崎電気軌道,1920,37,current,http://commons.wikimedia.org/wiki/Special:FilePath/Nagasaki%20Electric%20Tramway%20station%2037%20Nigiwaibashi.png,https://commons.wikimedia.org/wiki/File:Nagasaki_Electric_Tramway_station_37_Nigiwaibashi.png,長崎県長崎市栄町にある長崎電気軌道蛍茶屋支線の停留場である。駅番号は37。2号・4号・5号各系統が停車する。,Q11635049
8416,恵み野,恵み野,めぐみの,北海道,恵庭市,JR北海道 千歳線,,1982,H09／メク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Megumino%20Station%20in%20Chitose%20Line.jpg,https://commons.wikimedia.org/wiki/File:Megumino_Station_in_Chitose_Line.jpg,北海道恵庭市恵み野西1丁目にある北海道旅客鉄道（JR北海道）千歳線の駅。駅番号はH09。電報略号はメク。事務管理コードは▲131415。,Q59340
8417,目黒,目黒,めぐろ,東京都,上大崎/品川区,JR東日本 山手線／東急目黒線／東京メトロ南北線／都営地下鉄三田線,,1885,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Meguro%20Station-1.jpg,https://commons.wikimedia.org/wiki/File:Meguro_Station-1.jpg,東京都品川区上大崎にある、東日本旅客鉄道（JR東日本）・東急電鉄（東急）・東京地下鉄（東京メトロ）・東京都交通局（都営地下鉄）の駅である。,Q678461
8418,目白,目白,めじろ,東京都,目白/豊島区,JR東日本 山手線,JR東日本,1885,JY 14／メシ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Mejiro-Sta.JPG,https://commons.wikimedia.org/wiki/File:Mejiro-Sta.JPG,東京都豊島区目白三丁目にある、東日本旅客鉄道（JR東日本）山手線の駅である。当駅には山手線電車のみが停車し、山手貨物線を走行する埼京線・湘南新宿ラインやその他の列車は通過する。,Q375154
8419,めじろ台,めじろ台,めじろだい,東京都,八王子市,京王電鉄 京王高尾線,京王電鉄,1967,KO50,current,http://commons.wikimedia.org/wiki/Special:FilePath/Keio-MejirodaiSTATION.JPG,https://commons.wikimedia.org/wiki/File:Keio-MejirodaiSTATION.JPG,東京都八王子市めじろ台一丁目にある、京王電鉄高尾線の駅である。京王西管区所属。駅番号はKO50。,Q6810499
8420,目白山下,目白山下,めじろやました,神奈川県,片瀬,湘南モノレール 江の島線,湘南モノレール,1971,SMR7,current,http://commons.wikimedia.org/wiki/Special:FilePath/Shonan-monorail-SMR7-Mejiroyamashita-station-entrance-20200315-115334.jpg,https://commons.wikimedia.org/wiki/File:Shonan-monorail-SMR7-Mejiroyamashita-station-entrance-20200315-115334.jpg,神奈川県藤沢市片瀬にある、湘南モノレール江の島線の駅である。駅番号はSMR7。藤沢市の駅としては最も東に位置する。,Q1094934
8421,目出,目出,めで,山口県,山陽小野田市,JR西日本 小野田線,JR西日本,1915,メテ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Mede%20sta%20001.jpg,https://commons.wikimedia.org/wiki/File:JR_Mede_sta_001.jpg,山口県山陽小野田市大字小野田字目出にある、西日本旅客鉄道（JR西日本）小野田線の駅。,Q6805205
8422,メディカルセンター,メディカルセンター,めでぃかるせんたー,長崎県,長崎市,長崎電気軌道大浦支線,長崎電気軌道,1916,47,current,http://commons.wikimedia.org/wiki/Special:FilePath/Nagasaki%20Electric%20Tramway%20station%2047%20Shimin%20byoin-mae.png,https://commons.wikimedia.org/wiki/File:Nagasaki_Electric_Tramway_station_47_Shimin_byoin-mae.png,長崎県長崎市新地町にある長崎電気軌道大浦支線の路面電車停留場。駅番号は47。5号系統が停車する。長崎みなとメディカルセンターの最寄り停留場である。,Q11480601
8423,目時,目時,めとき,青森県,三戸町,IGRいわて銀河鉄道 いわて銀河鉄道線／青い森鉄道線,IGRいわて銀河鉄道／青い森鉄道,1924,メキ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Metoki%20Station%20building%2C%20Aomori%20Pref.jpg,https://commons.wikimedia.org/wiki/File:Metoki_Station_building%2C_Aomori_Pref.jpg,青森県三戸郡三戸町大字目時字村中にある、青い森鉄道・IGRいわて銀河鉄道の駅である。青森県で最南端の駅。,Q6824222
8424,目名,目名,めな,北海道,蘭越町,JR北海道 函館本線,JR北海道,1904,S28,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Hakodate-Main-Line%20Mena%20Station%20building.jpg,https://commons.wikimedia.org/wiki/File:JR_Hakodate-Main-Line_Mena_Station_building.jpg,北海道磯谷郡蘭越町目名にある北海道旅客鉄道（JR北海道）函館本線の駅である。駅番号はS28。電報略号はメナ。事務管理コードは▲130102。当駅から滝川駅まで本社管轄となる。,Q848093
8425,売布神社,売布神社,めふじんじゃ,兵庫県,宝塚市,阪急電鉄 阪急宝塚本線,,1914,HK-54,current,http://commons.wikimedia.org/wiki/Special:FilePath/Mefu-jinja%20Station%20%2801%29%20IMG%202714%20R%2020150411.JPG,https://commons.wikimedia.org/wiki/File:Mefu-jinja_Station_%2801%29_IMG_2714_R_20150411.JPG,兵庫県宝塚市売布二丁目にある、阪急電鉄宝塚本線の駅。駅番号はHK-54。,Q6807953
8426,女満別,女満別,めまんべつ,北海道,大空町,JR北海道 石北本線,JR北海道,1912,A67,current,http://commons.wikimedia.org/wiki/Special:FilePath/Memambetsu%20station01.JPG,https://commons.wikimedia.org/wiki/File:Memambetsu_station01.JPG,北海道網走郡大空町女満別本通1丁目にある北海道旅客鉄道（JR北海道）石北本線の駅である。電報略号はメマ。事務管理コードは▲122533。駅番号はA67。全ての定期列車が停車する。,Q6814192
8427,芽室,芽室,めむろ,北海道,芽室町,JR北海道 根室本線,,1907,K 27,current,http://commons.wikimedia.org/wiki/Special:FilePath/Memuro-STA.jpg,https://commons.wikimedia.org/wiki/File:Memuro-STA.jpg,北海道河西郡芽室町本通一丁目にある北海道旅客鉄道（JR北海道）根室本線の駅である。駅番号はK27。電報略号はメム。事務管理コードは▲110415。,Q899028
8428,免田,免田,めんでん,石川県,宝達志水町,JR西日本 七尾線,JR西日本,1950,メテ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Menden20150328.JPG,https://commons.wikimedia.org/wiki/File:Menden20150328.JPG,石川県羽咋郡宝達志水町免田にある、西日本旅客鉄道（JR西日本）七尾線の駅である。,Q6816597
8429,茂市,茂市,もいち,岩手県,宮古市,JR東日本 山田線,JR東日本,1934,モイ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Moichi%20Station.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Moichi_Station.jpg,岩手県宮古市茂市にある、東日本旅客鉄道（JR東日本）山田線の駅。2014年（平成26年）3月31日までは、当駅から岩泉線が分岐していた。,Q6894570
8430,舞木,舞木,もうぎ,福島県,郡山市,JR東日本 磐越東線,JR東日本,1914,モキ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Ban-etsu-East%20Line%20Mogi%20Station%20building.jpg,https://commons.wikimedia.org/wiki/File:JR_Ban-etsu-East_Line_Mogi_Station_building.jpg,福島県郡山市舞木町字平にある、東日本旅客鉄道（JR東日本）磐越東線の駅である。難読駅として知られている。,Q6951115
8431,真岡,真岡,もおか,栃木県,真岡市,真岡鐵道真岡線,真岡鐵道,1912,モウ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Moka-Sta.JPG,https://commons.wikimedia.org/wiki/File:Moka-Sta.JPG,栃木県真岡市台町にある真岡鐵道真岡線の駅である。,Q6907305
8432,茂吉記念館前,茂吉記念館前,もきちきねんかんまえ,山形県,上山市,JR東日本 奥羽本線,JR東日本,1952,モキ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Mokichikinenkammae%20Station%20Platform.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Mokichikinenkammae_Station_Platform.jpg,山形県上山市北町弁天にある、東日本旅客鉄道（JR東日本）奥羽本線の駅である。「山形線」の愛称区間に含まれている。,Q6895338
8433,百草園,百草園,もぐさえん,東京都,日野市,京王電鉄 京王線,京王電鉄,1925,KO28,current,http://commons.wikimedia.org/wiki/Special:FilePath/Mogusaen-Sta-N.JPG,https://commons.wikimedia.org/wiki/File:Mogusaen-Sta-N.JPG,東京都日野市百草にある、京王電鉄京王線の駅である。京王西管区所属。駅番号はKO28。京王百草園の最寄駅である。,Q4299262
8434,藻琴,藻琴,もこと,北海道,網走市,JR北海道 釧網本線,JR北海道,1924,B-77,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Senmo-Main-Line%20Mokoto%20Station%20building.jpg,https://commons.wikimedia.org/wiki/File:JR_Senmo-Main-Line_Mokoto_Station_building.jpg,北海道網走市字藻琴にある北海道旅客鉄道（JR北海道）釧網本線の駅である。駅番号はB77。事務管理コードは▲111620。,Q6895402
8435,茂尻,茂尻,もしり,北海道,赤平市,JR北海道 根室本線,,1918,T24,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Nemuro-Main-Line%20Moshiri%20Station%20building.jpg,https://commons.wikimedia.org/wiki/File:JR_Nemuro-Main-Line_Moshiri_Station_building.jpg,北海道赤平市茂尻（もじり）元町南2丁目にある北海道旅客鉄道（JR北海道）根室本線の駅である。駅番号はT24。電報略号はモシ。事務管理コードは▲130403。,Q899128
8436,門司,門司,もじ,福岡県,北九州市,JR九州 山陽本線／JR九州 鹿児島本線,JR九州,1891,JA29／JA52／モシ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Moji%20Station%2020181224.jpg,https://commons.wikimedia.org/wiki/File:Moji_Station_20181224.jpg,福岡県北九州市門司区中町にある、九州旅客鉄道（JR九州）の駅である。駅前にはかつて西日本鉄道（西鉄）北九州線の門司駅前停留場があった。本項目ではこれについても記す。,Q869281
8437,門司港,門司港,もじこう,福岡県,北九州市,JR九州 鹿児島本線,JR九州,1891,JA31／モコ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Mojiko%20Station%2020190831.jpg,https://commons.wikimedia.org/wiki/File:Mojiko_Station_20190831.jpg,福岡県北九州市門司区西海岸一丁目にある、九州旅客鉄道（JR九州）鹿児島本線の駅。駅番号はJA31。同線の起点である。,Q1051866
8438,百舌鳥,百舌鳥,もず,大阪府,堺市,JR西日本 阪和線,,1929,モス,current,http://commons.wikimedia.org/wiki/Special:FilePath/Mozu%20kudarikaisatsu01.jpg,https://commons.wikimedia.org/wiki/File:Mozu_kudarikaisatsu01.jpg,大阪府堺市堺区百舌鳥夕雲（もずせきうん）町二丁にある、西日本旅客鉄道（JR西日本）阪和線の駅である。駅番号はJR-R30。,Q856909
8439,百舌鳥八幡,百舌鳥八幡,もずはちまん,大阪府,堺区,南海電気鉄道 南海高野線,南海電気鉄道,1900,NK58,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/station/st_ea355c6143.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/station/st_ea355c6143.svg,大阪府堺市堺区向陵東町二丁にある、南海電気鉄道高野線の駅。駅番号はNK58。準急、各停が停車する。,Q8190825
8440,妹背牛,妹背牛,もせうし,北海道,妹背牛町,JR北海道 函館本線,JR北海道,1898,A23,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Hakodate-Main-Line%20Moseushi%20Station%20building.jpg,https://commons.wikimedia.org/wiki/File:JR_Hakodate-Main-Line_Moseushi_Station_building.jpg,北海道雨竜郡妹背牛町妹背牛にある北海道旅客鉄道（JR北海道）函館本線の駅である。駅番号はA23。電報略号はモセ。事務管理コードは▲120102。,Q875565
8441,もたて山,もたて山,もたてやま,滋賀県,坂本本町,比叡山鉄道線,,1949,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Motate-Yama%20station.JPG,https://commons.wikimedia.org/wiki/File:Motate-Yama_station.JPG,滋賀県大津市坂本本町にある比叡山鉄道比叡山鉄道線（坂本ケーブル）の駅である。,Q11279967
8442,用瀬,用瀬,もちがせ,鳥取県,鳥取市,JR西日本 因美線,JR西日本,1919,モチ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JRW%20mochigase%20sta.jpg,https://commons.wikimedia.org/wiki/File:JRW_mochigase_sta.jpg,鳥取県鳥取市用瀬町用瀬にある西日本旅客鉄道（JR西日本）因美線の駅である。恒例行事「流しびな」によって知名度の高い駅だが、通常は特急列車は停車しない。,Q3610964
